time	-I(Ls1)	-I(Ls2)
3.103107199787330e-010	-1.015082e-003	1.723882e-002
3.123107199787330e-010	-5.462797e-004	1.736881e-002
3.133107199787330e-010	-3.153463e-004	1.742690e-002
3.143107199787330e-010	-8.702927e-005	1.748036e-002
3.153107199787330e-010	1.384532e-004	1.752919e-002
3.163107199787330e-010	3.608916e-004	1.757339e-002
3.173107199787330e-010	5.800847e-004	1.761295e-002
3.193107199787330e-010	1.007976e-003	1.767817e-002
3.213107199787330e-010	1.420699e-003	1.772488e-002
3.233107199787330e-010	1.816973e-003	1.775317e-002
3.253107199787330e-010	2.195673e-003	1.776312e-002
3.263107199787330e-010	2.378122e-003	1.776127e-002
3.283107199787330e-010	2.728683e-003	1.774399e-002
3.313107199787330e-010	3.217371e-003	1.768447e-002
3.343107199787329e-010	3.659892e-003	1.758521e-002
3.363107199787329e-010	3.928699e-003	1.749730e-002
3.383107199787329e-010	4.176365e-003	1.739227e-002
3.403107199787329e-010	4.401735e-003	1.726977e-002
3.423107199787329e-010	4.607183e-003	1.713118e-002
3.443107199787329e-010	4.792710e-003	1.697652e-002
3.463107199787329e-010	4.958314e-003	1.680577e-002
3.483107199787329e-010	5.103997e-003	1.661894e-002
3.503107199787329e-010	5.229758e-003	1.641603e-002
3.523107199787329e-010	5.335596e-003	1.619704e-002
3.553107199787329e-010	5.463814e-003	1.584077e-002
3.573107199787329e-010	5.528863e-003	1.558447e-002
3.593107199787329e-010	5.578741e-003	1.531335e-002
3.603107199787329e-010	5.598324e-003	1.517229e-002
3.613107199787328e-010	5.614521e-003	1.502759e-002
3.623107199787328e-010	5.627471e-003	1.487928e-002
3.633107199787328e-010	5.637321e-003	1.472737e-002
3.643107199787328e-010	5.644213e-003	1.457189e-002
3.653107199787328e-010	5.648297e-003	1.441285e-002
3.663107199787328e-010	5.649721e-003	1.425026e-002
3.673107199787328e-010	5.648636e-003	1.408416e-002
3.683107199787328e-010	5.645191e-003	1.391455e-002
3.693107199787328e-010	5.639537e-003	1.374146e-002
3.703107199787328e-010	5.631827e-003	1.356489e-002
3.713107199787328e-010	5.622212e-003	1.338487e-002
3.723107199787328e-010	5.610841e-003	1.320141e-002
3.733107199787328e-010	5.597867e-003	1.301453e-002
3.743107199787328e-010	5.583436e-003	1.282423e-002
3.753107199787328e-010	5.567697e-003	1.263054e-002
