time	V(VCj1a,VCj2b)	V(VCj2a,VCj2b)
2.453107199787332e-010	-1.740848e-001	3.324077e-001
2.463107199787332e-010	-2.037434e-001	3.328990e-001
2.473107199787332e-010	-2.340653e-001	3.334070e-001
2.483107199787332e-010	-2.650124e-001	3.339297e-001
2.493107199787332e-010	-2.965463e-001	3.344647e-001
2.503107199787332e-010	-3.286276e-001	3.350102e-001
2.513107199787332e-010	-3.612170e-001	3.355641e-001
2.523107199787332e-010	-3.942741e-001	3.361246e-001
2.533107199787332e-010	-4.277587e-001	3.366902e-001
2.543107199787332e-010	-4.616298e-001	3.372592e-001
2.553107199787332e-010	-4.958466e-001	3.378302e-001
2.563107199787332e-010	-5.303679e-001	3.384018e-001
2.573107199787332e-010	-5.651522e-001	3.389730e-001
2.583107199787332e-010	-6.001583e-001	3.395425e-001
2.593107199787332e-010	-6.353447e-001	3.401093e-001
2.603107199787332e-010	-6.706702e-001	3.406726e-001
2.613107199787332e-010	-7.060937e-001	3.412315e-001
2.623107199787332e-010	-7.415741e-001	3.417853e-001
2.633107199787332e-010	-7.770707e-001	3.423334e-001
2.643107199787332e-010	-8.125430e-001	3.428750e-001
2.653107199787332e-010	-8.479510e-001	3.434098e-001
2.663107199787332e-010	-8.832550e-001	3.439372e-001
2.673107199787332e-010	-9.184159e-001	3.444568e-001
2.693107199787332e-010	-9.881539e-001	3.454713e-001
2.713107199787332e-010	-1.056863e+000	3.464509e-001
2.733107199787332e-010	-1.124251e+000	3.473937e-001
2.763107199787331e-010	-1.222248e+000	3.487366e-001
2.793107199787331e-010	-1.315762e+000	3.499915e-001
2.823107199787331e-010	-1.403984e+000	3.511574e-001
2.853107199787331e-010	-1.486190e+000	3.522341e-001
2.883107199787331e-010	-1.561744e+000	3.532225e-001
2.913107199787331e-010	-1.630108e+000	3.541242e-001
2.943107199787331e-010	-1.690839e+000	3.549406e-001
2.973107199787331e-010	-1.743594e+000	3.556738e-001
3.003107199787331e-010	-1.788130e+000	3.563259e-001
3.017392914073045e-010	-1.806393e+000	3.566080e-001
3.031678628358759e-010	-1.822754e+000	3.568729e-001
3.045964342644473e-010	-1.837213e+000	3.571206e-001
3.060250056930188e-010	-1.849771e+000	3.573513e-001
3.074535771215902e-010	-1.860427e+000	3.575648e-001
3.088821485501616e-010	-1.869181e+000	3.577612e-001
3.103107199787330e-010	-1.876034e+000	3.579405e-001
3.123107199787330e-010	-1.882535e+000	3.581649e-001
3.133107199787330e-010	-1.884438e+000	3.582652e-001
3.143107199787330e-010	-1.885456e+000	3.583576e-001
3.153107199787330e-010	-1.885598e+000	3.584423e-001
