time	V(vcj2b)
4.503107199787325e-010	-4.080951e-002
4.513107199787325e-010	-4.279910e-002
4.523107199787325e-010	-4.401617e-002
4.533107199787325e-010	-4.446619e-002
4.543107199787325e-010	-4.415531e-002
4.553107199787325e-010	-4.309048e-002
4.563107199787325e-010	-4.127932e-002
4.573107199787325e-010	-3.873025e-002
4.583107199787325e-010	-3.545235e-002
4.593107199787325e-010	-3.145545e-002
4.603107199787325e-010	-2.675008e-002
4.613107199787325e-010	-2.134747e-002
4.623107199787325e-010	-1.525951e-002
4.633107199787325e-010	-8.498787e-003
4.643107199787325e-010	-1.078528e-003
4.653107199787325e-010	6.987400e-003
4.663107199787325e-010	1.568451e-002
4.673107199787325e-010	2.499771e-002
4.683107199787325e-010	3.491134e-002
4.693107199787325e-010	4.540915e-002
4.703107199787325e-010	5.647438e-002
4.713107199787325e-010	6.808973e-002
4.723107199787325e-010	8.023743e-002
4.733107199787325e-010	9.289923e-002
4.753107199787325e-010	1.196899e-001
4.773107199787324e-010	1.483074e-001
4.803107199787324e-010	1.943068e-001
4.833107199787324e-010	2.434940e-001
4.863107199787324e-010	2.952899e-001
4.893107199787324e-010	3.491043e-001
4.923107199787324e-010	4.043427e-001
4.953107199787324e-010	4.604131e-001
4.983107199787324e-010	5.167328e-001
5.013107199787324e-010	5.727344e-001
5.043107199787324e-010	6.278719e-001
5.073107199787323e-010	6.816264e-001
5.085964342644466e-010	7.042012e-001
5.098821485501609e-010	7.263117e-001
5.111678628358752e-010	7.479578e-001
5.124535771215895e-010	7.691397e-001
5.137392914073038e-010	7.898571e-001
5.150250056930180e-010	8.101103e-001
5.163107199787323e-010	8.298991e-001
5.173107199787323e-010	8.448354e-001
5.183107199787323e-010	8.594139e-001
5.193107199787323e-010	8.736225e-001
5.203107199787323e-010	8.874497e-001
5.213107199787323e-010	9.008847e-001
5.223107199787323e-010	9.139171e-001
5.243107199787323e-010	9.387360e-001
5.263107199787323e-010	9.618354e-001
5.283107199787323e-010	9.831539e-001
5.303107199787323e-010	1.002639e+000
5.323107199787323e-010	1.020249e+000
