time	V(N001,VCj2b)	V(N002,VCj2b)
2.013107199787334e-010	3.528302e-001	-3.166425e-001
2.023107199787334e-010	3.499181e-001	-2.926296e-001
2.033107199787334e-010	3.469158e-001	-2.686390e-001
2.043107199787334e-010	3.438165e-001	-2.446723e-001
2.053107199787334e-010	3.406123e-001	-2.207307e-001
2.063107199787334e-010	3.372946e-001	-1.968153e-001
2.073107199787334e-010	3.338531e-001	-1.729271e-001
2.083107199787334e-010	3.302762e-001	-1.490669e-001
2.093107199787333e-010	3.265505e-001	-1.252356e-001
2.103107199787333e-010	3.226607e-001	-1.014337e-001
2.113107199787333e-010	3.185889e-001	-7.766190e-002
2.123107199787333e-010	3.143148e-001	-5.392063e-002
2.133107199787333e-010	3.098145e-001	-3.021029e-002
2.143107199787333e-010	3.050607e-001	-6.531328e-003
2.153107199787333e-010	3.000218e-001	1.711580e-002
2.163107199787333e-010	2.946615e-001	4.073071e-002
2.173107199787333e-010	2.889381e-001	6.431291e-002
2.183107199787333e-010	2.828044e-001	8.786157e-002
2.193107199787333e-010	2.762076e-001	1.113755e-001
2.203107199787333e-010	2.690887e-001	1.348521e-001
2.213107199787333e-010	2.613784e-001	1.582855e-001
2.223107199787333e-010	2.529948e-001	1.816607e-001
2.233107199787333e-010	2.438629e-001	2.049463e-001
2.243107199787333e-010	2.339270e-001	2.280755e-001
2.253107199787333e-010	2.231331e-001	2.509030e-001
2.263107199787333e-010	2.114220e-001	2.731263e-001
2.273107199787333e-010	1.987406e-001	2.941781e-001
2.283107199787333e-010	1.850475e-001	3.131662e-001
2.293107199787333e-010	1.703129e-001	3.290311e-001
2.303107199787333e-010	1.545185e-001	3.409984e-001
2.313107199787333e-010	1.376572e-001	3.490402e-001
2.323107199787333e-010	1.197314e-001	3.538995e-001
2.333107199787333e-010	1.007517e-001	3.566473e-001
2.343107199787333e-010	8.073404e-002	3.582066e-001
2.353107199787333e-010	5.969776e-002	3.591771e-001
2.363107199787333e-010	3.766612e-002	3.598991e-001
2.373107199787333e-010	1.466595e-002	3.605496e-001
2.383107199787333e-010	-9.273884e-003	3.612103e-001
2.393107199787333e-010	-3.412308e-002	3.619163e-001
2.403107199787333e-010	-5.985003e-002	3.626819e-001
2.413107199787333e-010	-8.642200e-002	3.635114e-001
2.423107199787333e-010	-1.138053e-001	3.644045e-001
2.433107199787333e-010	-1.419650e-001	3.653589e-001
2.443107199787333e-010	-1.708657e-001	3.663714e-001
2.453107199787332e-010	-2.004709e-001	3.674385e-001
2.463107199787332e-010	-2.307434e-001	3.685563e-001
2.473107199787332e-010	-2.616452e-001	3.697211e-001
2.483107199787332e-010	-2.931378e-001	3.709292e-001
2.493107199787332e-010	-3.251822e-001	3.721769e-001
2.503107199787332e-010	-3.577387e-001	3.734608e-001
2.513107199787332e-010	-3.907672e-001	3.747775e-001
